Station,MonthTotal,AvgWeekday,AvgSaturday,AvgSunday,AvgHoliday,AvgDailyTotal,TotalWeekdayCount,TotalSaturdayCount,TotalSundayCount,TotalHolidayCount,Month,Year
Journal Square,"676,530","27,175","15,341","11,264",0,"22,551","543,503","76,706","56,321",0,4,2017
Grove Street,"515,089","20,923","11,172","8,153",0,"17,170","418,461","55,862","40,766",0,4,2017
Exchange Place,"396,546","17,694","4,830","3,703",0,"13,218","353,879","24,152","18,515",0,4,2017
Pavonia/ Newport,"474,570","19,840","8,922","6,633",0,"15,819","396,796","44,608","33,166",0,4,2017
Hoboken,"765,182","33,171","11,883","8,469",0,"25,506","663,425","59,414","42,343",0,4,2017
NEW JERSEY SUBTOTAL,"3,782,820","159,726","67,581","50,081",0,"126,094","3,194,505","337,907","250,408",0,4,2017
Christopher Street,"137,855","5,276","2,680","2,392","1,503","4,447","116,064","10,720","9,568","1,503",5,2017
9thStreet,"138,267","4,964","3,585","3,162","2,076","4,460","109,202","14,339","12,650","2,076",5,2017
14thStreet,"242,890","9,324","4,880","3,902","2,626","7,835","205,137","19,518","15,609","2,626",5,2017
23rdStreet,"240,624","9,790","3,198","2,604","2,038","7,762","215,378","12,792","10,416","2,038",5,2017
33rdStreet,"943,898","36,702","16,585","14,520","12,026","30,448","807,453","66,339","58,080","12,026",5,2017
UPTOWN SUBTOTAL,"1,703,534","66,056","30,928","26,580","20,269","54,953","1,453,234","123,708","106,323","20,269",5,2017
WTC,"1,503,439","61,207","19,155","16,710","13,428","48,498","1,346,552","76,621","66,838","13,428",5,2017
NEW YORK SUBTOTAL,"3,206,973","127,263","50,083","43,290","33,697","103,451","2,799,786","200,329","173,161","33,697",5,2017
Newark,"775,079","31,410","10,236","8,608","8,695","25,003","691,011","40,942","34,431","8,695",5,2017
Harrison,"227,501","9,077","3,509","2,902","2,172","7,339","199,685","14,036","11,608","2,172",5,2017
Journal Square,"714,917","27,306","14,398","11,642","10,023","23,062","600,732","57,592","46,570","10,023",5,2017
Grove Street,"546,086","21,287","10,018","7,912","6,056","17,616","468,307","40,074","31,649","6,056",5,2017
Exchange Place,"436,140","18,185","4,372","3,864","3,125","14,069","400,073","17,487","15,455","3,125",5,2017
Pavonia/ Newport,"502,106","19,891","7,986","6,804","5,342","16,197","437,605","31,944","27,215","5,342",5,2017
Hoboken,"730,469","29,674","9,988","7,952","5,892","23,564","652,817","39,953","31,807","5,892",5,2017
NEW JERSEY SUBTOTAL,"3,932,298","156,830","60,507","49,684","41,305","126,848","3,450,230","242,028","198,735","41,305",5,2017
Christopher Street,"144,496","5,533","2,993","2,701",0,"4,817","121,719","11,973","10,804",0,6,2017
9thStreet,"134,342","4,802","3,708","3,464",0,"4,478","105,651","14,833","13,858",0,6,2017
14thStreet,"249,017","9,440","5,412","4,924",0,"8,301","207,671","21,648","19,698",0,6,2017
23rdStreet,"243,856","9,997","3,170","2,808",0,"8,129","219,943","12,679","11,234",0,6,2017
33rdStreet,"965,488","37,731","18,376","15,474",0,"32,183","830,087","73,503","61,898",0,6,2017
UPTOWN SUBTOTAL,"1,737,199","67,503","33,659","29,371",0,"57,907","1,485,071","134,636","117,492",0,6,2017
WTC,"1,521,052","62,020","21,794","17,362",0,"50,702","1,364,430","87,176","69,446",0,6,2017
NEW YORK SUBTOTAL,"3,258,251","129,523","55,453","46,733",0,"108,608","2,849,501","221,812","186,938",0,6,2017
Newark,"783,216","31,620","11,997","9,896",0,"26,107","695,642","47,988","39,586",0,6,2017
Harrison,"233,220","9,128","5,491","2,609",0,"7,774","200,820","21,964","10,436",0,6,2017
Journal Square,"706,093","27,161","15,382","11,757",0,"23,536","597,536","61,528","47,029",0,6,2017
Grove Street,"552,929","21,539","11,223","8,542",0,"18,431","473,868","44,892","34,169",0,6,2017
Exchange Place,"443,515","18,574","4,911","3,808",0,"14,784","408,637","19,644","15,234",0,6,2017
Pavonia/ Newport,"506,061","20,240","8,602","6,593",0,"16,869","445,279","34,409","26,373",0,6,2017
Hoboken,"748,886","30,430","11,164","8,691",0,"24,963","669,467","44,654","34,765",0,6,2017
NEW JERSEY SUBTOTAL,"3,973,920","158,692","68,770","51,896",0,"132,464","3,491,249","275,079","207,592",0,6,2017
Christopher Street,"136,717","5,451","2,805","2,399","1,687","4,410","109,012","14,025","11,993","1,687",7,2017
9thStreet,"128,989","4,732","3,462","2,963","2,223","4,161","94,642","17,309","14,815","2,223",7,2017
14thStreet,"242,163","9,555","5,236","4,180","3,980","7,812","191,100","26,182","20,901","3,980",7,2017
23rdStreet,"238,019","10,340","3,205","2,493","2,731","7,678","206,801","16,023","12,464","2,731",7,2017
33rdStreet,"1,055,674","43,832","17,817","15,016","14,871","34,054","876,637","89,084","75,082","14,871",7,2017
UPTOWN SUBTOTAL,"1,801,562","73,910","32,525","27,051","25,492","58,115","1,478,192","162,623","135,255","25,492",7,2017
WTC,"1,447,880","61,930","21,026","17,191","18,194","46,706","1,238,604","105,129","85,953","18,194",7,2017
NEW YORK SUBTOTAL,"3,249,442","135,840","53,551","44,242","43,686","104,821","2,716,796","267,752","221,208","43,686",7,2017
Newark,"740,943","31,261","11,279","9,449","12,079","23,901","625,224","56,395","47,245","12,079",7,2017
Harrison,"218,942","9,159","3,850","2,609","3,469","7,063","183,178","19,251","13,044","3,469",7,2017
Journal Square,"683,362","26,777","15,054","11,586","14,617","22,044","535,545","75,271","57,929","14,617",7,2017
Grove Street,"519,449","20,781","10,664","8,272","9,146","16,756","415,622","53,322","41,359","9,146",7,2017
Exchange Place,"421,279","18,320","4,996","4,087","9,463","13,590","366,403","24,978","20,435","9,463",7,2017
Pavonia/ Newport,"482,306","20,005","8,514","6,482","7,222","15,558","400,102","42,572","32,410","7,222",7,2017
Hoboken,"808,106","35,351","10,453","8,077","8,442","26,068","707,014","52,267","40,383","8,442",7,2017
NEW JERSEY SUBTOTAL,"3,874,387","161,654","64,810","50,562","64,438","124,980","3,233,088","324,056","252,805","64,438",7,2017
Christopher Street,"145,130","5,479","2,654","2,124",0,"4,682","126,016","10,618","8,496",0,8,2017
9thStreet,"135,842","4,788","3,580","2,850",0,"4,382","110,120","14,321","11,401",0,8,2017
14thStreet,"256,374","9,536","5,213","4,050",0,"8,270","219,321","20,853","16,200",0,8,2017
23rdStreet,"263,737","10,434","3,190","2,750",0,"8,508","239,980","12,758","10,999",0,8,2017
33rdStreet,"1,141,997","43,930","17,958","14,945",0,"36,839","1,010,383","71,833","59,781",0,8,2017
UPTOWN SUBTOTAL,"1,943,080","74,167","32,595","26,719",0,"62,680","1,705,820","130,383","106,877",0,8,2017
WTC,"1,559,350","61,113","20,921","17,515",0,"50,302","1,405,608","83,683","70,059",0,8,2017
NEW YORK SUBTOTAL,"3,502,430","135,280","53,516","44,234",0,"112,982","3,111,428","214,066","176,936",0,8,2017
Newark,"792,557","30,798","11,581","9,472",0,"25,566","708,345","46,325","37,887",0,8,2017
Harrison,"231,651","8,887","4,050","2,760",0,"7,473","204,409","16,202","11,040",0,8,2017
Journal Square,"727,303","26,886","15,562","11,672",0,"23,461","618,370","62,247","46,686",0,8,2017
Grove Street,"553,033","20,748","10,746","8,214",0,"17,840","477,196","42,983","32,854",0,8,2017
Exchange Place,"440,256","17,590","5,020","3,902",0,"14,202","404,566","20,081","15,609",0,8,2017
Pavonia/ Newport,"512,582","19,737","8,396","6,262",0,"16,535","453,953","33,582","25,047",0,8,2017
Hoboken,"928,686","37,074","10,747","8,252",0,"29,958","852,691","42,988","33,007",0,8,2017
NEW JERSEY SUBTOTAL,"4,186,068","161,720","66,102","50,534",0,"135,034","3,719,530","264,408","202,130",0,8,2017
Christopher Street,"135,845","5,446","3,084","2,393","1,932","4,528","108,921","15,419","9,573","1,932",9,2017
9thStreet,"144,357","5,541","3,844","2,962","2,471","4,812","110,818","19,220","11,848","2,471",9,2017
14thStreet,"245,026","9,800","5,638","4,253","3,813","8,168","196,008","28,192","17,013","3,813",9,2017
23rdStreet,"235,525","10,352","3,303","2,458","2,147","7,851","207,033","16,514","9,831","2,147",9,2017
33rdStreet,"901,492","36,889","18,183","14,280","15,673","30,050","737,780","90,917","57,122","15,673",9,2017
UPTOWN SUBTOTAL,"1,662,245","68,028","34,052","26,346","26,036","55,408","1,360,560","170,262","105,387","26,036",9,2017
WTC,"1,463,228","63,202","21,694","17,676","20,009","48,774","1,264,047","108,468","70,704","20,009",9,2017
NEW YORK SUBTOTAL,"3,125,473","131,230","55,746","44,022","46,045","104,182","2,624,607","278,730","176,091","46,045",9,2017
Newark,"759,778","32,508","11,900","9,483","12,188","25,326","650,157","59,501","37,932","12,188",9,2017
Harrison,"225,952","9,516","3,750","3,503","2,878","7,532","190,313","18,748","14,013","2,878",9,2017
Journal Square,"715,314","28,902","15,818","11,342","12,818","23,844","578,038","79,088","45,370","12,818",9,2017
Grove Street,"527,539","21,588","11,172","8,178","7,208","17,585","431,758","55,861","32,712","7,208",9,2017
Exchange Place,"409,551","18,231","5,105","3,713","4,562","13,652","364,611","25,526","14,852","4,562",9,2017
Pavonia/ Newport,"499,090","21,114","8,853","6,382","7,015","16,636","422,282","44,267","25,526","7,015",9,2017
Hoboken,"708,814","30,333","11,808","8,942","7,350","23,627","606,656","59,041","35,767","7,350",9,2017
NEW JERSEY SUBTOTAL,"3,846,038","162,192","68,406","51,543","54,019","128,201","3,243,815","342,032","206,172","54,019",9,2017
Christopher Street,"145,821","5,561","3,307","2,415","3,748","4,704","116,771","13,227","12,075","3,748",10,2017
9thStreet,"157,279","5,750","4,293","3,099","3,858","5,074","120,753","17,172","15,496","3,858",10,2017
14thStreet,"258,197","9,815","5,848","4,257","7,395","8,329","206,124","23,394","21,284","7,395",10,2017
23rdStreet,"254,987","10,555","3,496","2,398","7,359","8,225","221,658","13,982","11,988","7,359",10,2017
33rdStreet,"953,834","37,149","18,957","13,705","29,346","30,769","780,136","75,829","68,523","29,346",10,2017
UPTOWN SUBTOTAL,"1,770,118","68,830","35,901","25,874","51,706","57,101","1,445,442","143,604","129,366","51,706",10,2017
WTC,"1,565,581","64,223","22,010","16,826","44,723","50,503","1,348,686","88,041","84,131","44,723",10,2017
NEW YORK SUBTOTAL,"3,335,699","133,053","57,911","42,700","96,429","107,603","2,794,128","231,645","213,497","96,429",10,2017
Newark,"808,567","33,009","12,241","8,500","23,919","26,083","693,185","48,965","42,498","23,919",10,2017
Harrison,"234,408","9,409","4,164","2,715","6,578","7,562","197,598","16,656","13,576","6,578",10,2017
Journal Square,"749,618","29,039","16,250","10,617","21,716","24,181","609,813","65,002","53,087","21,716",10,2017
Grove Street,"564,636","21,998","11,861","7,859","15,946","18,214","461,950","47,443","39,297","15,946",10,2017
Exchange Place,"435,038","18,328","5,086","3,499","12,319","14,033","384,883","20,342","17,494","12,319",10,2017
Pavonia/ Newport,"529,547","21,314","9,154","5,767","16,496","17,082","447,601","36,615","28,835","16,496",10,2017
Hoboken,"762,060","30,882","12,465","8,333","22,022","24,583","648,513","49,860","41,665","22,022",10,2017
NEW JERSEY SUBTOTAL,"4,083,874","163,979","71,221","47,290","118,996","131,738","3,443,543","284,883","236,452","118,996",10,2017
Christopher Street,"128,952","5,332","2,776","2,106","2,707","4,298","101,303","11,103","8,424","8,122",11,2017
9thStreet,"140,054","5,476","3,699","2,894","3,214","4,668","104,039","14,797","11,577","9,641",11,2017
14thStreet,"239,395","9,707","5,288","4,227","5,632","7,980","184,439","21,152","16,909","16,895",11,2017
23rdStreet,"238,631","10,544","3,360","2,539","4,901","7,954","200,330","13,442","10,155","14,704",11,2017
33rdStreet,"889,007","36,511","17,470","13,812","23,390","29,634","693,708","69,879","55,249","70,171",11,2017
UPTOWN SUBTOTAL,"1,636,039","67,570","32,593","25,578","39,844","54,535","1,283,819","130,373","102,314","119,533",11,2017
WTC,"1,431,696","63,108","19,115","15,504","31,392","47,723","1,199,044","76,460","62,017","94,175",11,2017
NEW YORK SUBTOTAL,"3,067,735","130,678","51,708","41,082","71,236","102,258","2,482,863","206,833","164,331","213,708",11,2017
Newark,"738,262","32,261","10,735","8,462","16,170","24,609","612,965","42,939","33,847","48,511",11,2017
Harrison,"210,199","9,138","3,262","2,190","4,923","7,007","173,622","13,047","8,762","14,768",11,2017
Journal Square,"689,343","28,217","14,476","10,344","17,980","22,978","536,128","57,902","41,374","53,939",11,2017
Grove Street,"520,209","21,608","10,588","7,640","12,251","17,340","410,543","42,352","30,560","36,754",11,2017
Exchange Place,"401,924","18,074","4,676","3,329","8,832","13,397","343,409","18,704","13,315","26,496",11,2017
Pavonia/ Newport,"493,190","20,853","8,434","5,963","13,134","16,440","396,199","33,738","23,852","39,401",11,2017
Hoboken,"706,205","30,729","11,661","8,071","14,475","23,540","583,854","46,643","32,283","43,425",11,2017
NEW JERSEY SUBTOTAL,"3,759,332","160,880","63,832","45,999","87,765","125,311","3,056,720","255,325","183,993","263,294",11,2017
Christopher Street,"116,430","4,670","2,491","1,962",757,"3,756","93,408","12,456","9,809",757,12,2017
9thStreet,"126,326","4,756","3,351","2,659","1,166","4,075","95,113","16,753","13,294","1,166",12,2017
14thStreet,"226,882","8,842","5,410","4,250","1,735","7,319","176,848","27,049","21,250","1,735",12,2017
23rdStreet,"213,562","9,043","3,554","2,722","1,323","6,889","180,858","17,771","13,610","1,323",12,2017
33rdStreet,"867,831","34,353","18,417","15,166","12,861","27,995","687,055","92,084","75,831","12,861",12,2017
UPTOWN SUBTOTAL,"1,551,031","61,664","33,223","26,759","17,842","50,033","1,233,282","166,113","133,794","17,842",12,2017
WTC,"1,326,768","57,059","19,043","15,702","11,873","42,799","1,141,171","95,213","78,511","11,873",12,2017
NEW YORK SUBTOTAL,"2,877,799","118,723","52,266","42,461","29,715","92,832","2,374,453","261,326","212,305","29,715",12,2017
Newark,"683,674","29,269","10,290","8,112","6,288","22,054","585,378","51,450","40,558","6,288",12,2017
Harrison,"196,728","8,317","3,173","2,489","2,073","6,346","166,349","15,863","12,443","2,073",12,2017
Journal Square,"656,407","26,020","13,791","11,512","9,494","21,174","520,396","68,957","57,560","9,494",12,2017
Grove Street,"490,504","19,784","10,260","7,834","4,358","15,823","395,679","51,299","39,168","4,358",12,2017
Exchange Place,"374,331","16,360","4,910","3,868","3,246","12,075","327,198","24,548","19,339","3,246",12,2017
Pavonia/ Newport,"460,277","18,994","8,233","6,875","4,855","14,848","379,880","41,165","34,377","4,855",12,2017
Hoboken,"665,412","28,052","11,938","8,244","3,455","21,465","561,045","59,690","41,222","3,455",12,2017
NEW JERSEY SUBTOTAL,"3,527,333","146,796","62,595","48,934","33,769","113,785","2,935,925","312,972","244,667","33,769",12,2017
