Station,MonthTotal,AvgWeekday,AvgSaturday,AvgSunday,AvgHoliday,AvgDailyTotal,TotalWeekdayCount,TotalSaturdayCount,TotalSundayCount,TotalHolidayCount,Month,Year
Grove Street,"472,340","20,939","9,694","6,544","9,554","16,869","397,832","38,778","26,176","9,554",2,2018
Exchange Place,"368,722","17,663","4,127","2,831","5,291","13,169","335,599","16,507","11,325","5,291",2,2018
Pavonia/ Newport,"433,921","19,907","7,018","5,056","7,398","15,497","378,227","28,071","20,225","7,398",2,2018
Hoboken,"643,401","29,758","10,106","6,802","10,371","22,979","565,398","40,423","27,209","10,371",2,2018
NEW JERSEY SUBTOTAL,"3,379,895","154,510","55,985","39,238","63,316","120,711","2,935,682","223,939","156,958","63,316",2,2018
Christopher Street,"129,052","4,852","2,775","2,106",0,"4,163","106,754","13,874","8,424",0,3,2018
9thStreet,"133,670","4,638","3,960","2,957",0,"4,312","102,040","19,801","11,829",0,3,2018
14thStreet,"233,471","8,641","5,436","4,048",0,"7,531","190,100","27,180","16,191",0,3,2018
23rdStreet,"239,665","9,655","3,493","2,450",0,"7,731","212,400","17,465","9,800",0,3,2018
33rdStreet,"869,537","33,521","16,633","12,226",0,"28,050","737,470","83,163","48,904",0,3,2018
UPTOWN SUBTOTAL,"1,605,395","61,307","32,297","23,787",0,"51,787","1,348,764","161,483","95,148",0,3,2018
WTC,"1,433,442","57,681","20,445","15,556",0,"46,240","1,268,992","102,226","62,224",0,3,2018
NEW YORK SUBTOTAL,"3,038,837","118,988","52,742","39,343",0,"98,027","2,617,756","263,709","157,372",0,3,2018
Newark,"726,978","29,108","10,913","8,008",0,"23,451","640,383","54,565","32,030",0,3,2018
Harrison,"207,638","8,100","3,828","2,573",0,"6,698","178,207","19,140","10,291",0,3,2018
Journal Square,"667,419","25,170","14,702","10,042",0,"21,530","553,739","73,512","40,168",0,3,2018
Grove Street,"517,599","19,686","11,017","7,355",0,"16,697","433,093","55,086","29,420",0,3,2018
Exchange Place,"401,091","16,469","5,084","3,337",0,"12,938","362,323","25,419","13,349",0,3,2018
Pavonia/ Newport,"474,557","18,647","8,418","5,559",0,"15,308","410,234","42,088","22,235",0,3,2018
Hoboken,"722,632","28,817","11,981","7,188",0,"23,311","633,977","59,904","28,751",0,3,2018
NEW JERSEY SUBTOTAL,"3,717,914","145,997","65,943","44,062",0,"119,933","3,211,956","329,714","176,244",0,3,2018
Christopher Street,"136,346","5,325","3,462","2,133",0,"4,545","111,832","13,849","10,665",0,4,2018
9thStreet,"138,348","5,256","3,444","2,839",0,"4,612","110,376","13,775","14,197",0,4,2018
14thStreet,"239,198","9,198","6,464","4,037",0,"7,973","193,158","25,856","20,184",0,4,2018
23rdStreet,"240,876","10,207","3,560","2,457",0,"8,029","214,352","14,239","12,285",0,4,2018
33rdStreet,"873,005","35,032","18,039","13,034",0,"29,100","735,679","72,156","65,170",0,4,2018
UPTOWN SUBTOTAL,"1,627,773","65,018","34,969","24,500",0,"54,259","1,365,397","139,875","122,501",0,4,2018
WTC,"1,481,203","62,521","22,040","16,021",0,"49,373","1,312,938","88,161","80,104",0,4,2018
NEW YORK SUBTOTAL,"3,108,976","127,539","57,009","40,521",0,"103,633","2,678,335","228,036","202,605",0,4,2018
Newark,"745,835","31,286","11,943","8,213",0,"24,861","656,998","47,773","41,064",0,4,2018
Harrison,"213,239","8,832","4,249","2,156",0,"7,108","185,462","16,997","10,780",0,4,2018
Journal Square,"686,000","27,150","15,674","10,631",0,"22,867","570,147","62,698","53,155",0,4,2018
Grove Street,"526,836","21,149","11,452","7,378",0,"17,561","444,137","45,807","36,892",0,4,2018
Exchange Place,"417,028","17,924","5,494","3,731",0,"13,901","376,401","21,974","18,653",0,4,2018
Pavonia/ Newport,"495,853","20,451","8,954","6,115",0,"16,528","429,461","35,817","30,575",0,4,2018
Hoboken,"711,770","29,953","12,226","6,771",0,"23,726","629,010","48,905","33,855",0,4,2018
NEW JERSEY SUBTOTAL,"3,796,561","156,745","69,992","44,995",0,"126,552","3,291,616","279,971","224,974",0,4,2018
Christopher Street,"149,295","5,639","3,206","2,614","1,955","4,816","124,061","12,822","10,457","1,955",5,2018
9thStreet,"146,848","5,165","4,322","3,385","2,398","4,737","113,622","17,289","13,539","2,398",5,2018
14thStreet,"253,208","9,485","5,890","4,375","3,472","8,168","208,675","23,562","17,499","3,472",5,2018
23rdStreet,"251,526","10,291","3,297","2,470","2,050","8,114","226,411","13,187","9,878","2,050",5,2018
33rdStreet,"952,444","36,573","18,786","14,729","13,787","30,724","804,597","75,143","58,917","13,787",5,2018
UPTOWN SUBTOTAL,"1,753,321","67,153","35,501","27,573","23,662","56,559","1,477,366","142,003","110,290","23,662",5,2018
WTC,"1,550,160","64,377","17,104","11,887","17,899","50,005","1,416,298","68,415","47,548","17,899",5,2018
NEW YORK SUBTOTAL,"3,303,481","131,530","52,605","39,460","41,561","106,564","2,893,664","210,418","157,838","41,561",5,2018
Newark,"782,953","31,697","10,785","7,976","10,584","25,257","697,326","43,140","31,903","10,584",5,2018
Harrison,"230,932","9,147","4,479","2,276","2,682","7,449","201,231","17,915","9,104","2,682",5,2018
Journal Square,"727,120","27,844","14,847","10,805","11,938","23,455","612,574","59,387","43,221","11,938",5,2018
Grove Street,"561,808","21,869","10,760","7,630","7,134","18,123","481,116","43,038","30,520","7,134",5,2018
Exchange Place,"439,563","18,494","4,178","2,926","4,268","14,179","406,878","16,713","11,704","4,268",5,2018
Pavonia/ Newport,"521,048","20,656","8,444","6,587","6,489","16,808","454,434","33,778","26,347","6,489",5,2018
Hoboken,"747,896","30,510","10,204","7,214","7,008","24,126","671,219","40,814","28,855","7,008",5,2018
NEW JERSEY SUBTOTAL,"4,011,320","160,217","63,697","45,414","50,103","129,397","3,524,778","254,785","181,654","50,103",5,2018
Christopher Street,"149,052","5,801","2,950","3,122",0,"4,968","121,818","14,748","12,486",0,6,2018
9thStreet,"136,601","4,953","3,734","3,478",0,"4,553","104,016","18,672","13,913",0,6,2018
14thStreet,"244,320","9,427","5,434","4,795",0,"8,144","197,972","27,169","19,179",0,6,2018
23rdStreet,"240,100","10,125","3,164","2,914",0,"8,003","212,623","15,820","11,657",0,6,2018
33rdStreet,"916,403","36,641","17,597","14,739",0,"30,547","769,464","87,983","58,956",0,6,2018
UPTOWN SUBTOTAL,"1,686,476","66,947","32,879","29,048",0,"56,216","1,405,893","164,392","116,191",0,6,2018
WTC,"1,530,518","64,429","21,508","17,492",0,"51,017","1,353,006","107,542","69,970",0,6,2018
NEW YORK SUBTOTAL,"3,216,994","131,376","54,387","46,540",0,"107,233","2,758,899","271,934","186,161",0,6,2018
Newark,"757,184","31,451","11,256","10,107",0,"25,239","660,476","56,280","40,428",0,6,2018
Harrison,"222,972","9,237","3,626","2,719",0,"7,432","193,969","18,128","10,875",0,6,2018
Journal Square,"703,894","27,495","15,581","12,148",0,"23,463","577,395","77,905","48,594",0,6,2018
Grove Street,"546,464","21,786","11,020","8,465",0,"18,215","457,505","55,098","33,861",0,6,2018
Exchange Place,"434,705","18,708","5,219","3,936",0,"14,490","392,865","26,096","15,744",0,6,2018
Pavonia/ Newport,"495,978","20,419","8,182","6,566",0,"16,533","428,803","40,909","26,266",0,6,2018
Hoboken,"726,830","30,603","10,577","7,821",0,"24,228","642,663","52,884","31,283",0,6,2018
NEW JERSEY SUBTOTAL,"3,888,027","159,699","65,461","51,762",0,"129,601","3,353,676","327,300","207,051",0,6,2018
Christopher Street,"120,936","5,238","1,091",951,"1,826","3,901","109,990","4,363","4,757","1,826",7,2018
9thStreet,"111,501","4,583","1,550","1,331","2,405","3,597","96,242","6,201","6,653","2,405",7,2018
14thStreet,"208,691","8,968","1,850","1,674","4,601","6,732","188,320","7,398","8,372","4,601",7,2018
23rdStreet,"201,438","9,121",771,839,"2,612","6,498","191,545","3,085","4,196","2,612",7,2018
33rdStreet,"810,571","35,360","5,906","6,027","14,244","26,147","742,567","23,624","30,136","14,244",7,2018
UPTOWN SUBTOTAL,"1,453,137","63,270","11,168","10,822","25,688","46,875","1,328,664","44,671","54,114","25,688",7,2018
WTC,"1,639,523","64,346","35,010","25,592","20,248","52,888","1,351,272","140,041","127,962","20,248",7,2018
NEW YORK SUBTOTAL,"3,092,660","127,616","46,178","36,414","45,936","99,763","2,679,936","184,712","182,076","45,936",7,2018
Newark,"735,175","30,321","11,080","8,439","11,917","23,715","636,741","44,321","42,196","11,917",7,2018
Harrison,"220,171","8,894","4,568","2,292","3,655","7,102","186,784","18,271","11,461","3,655",7,2018
Journal Square,"685,891","26,601","14,717","10,691","14,950","22,126","558,618","58,868","53,455","14,950",7,2018
Grove Street,"527,616","20,904","10,113","7,451","10,917","17,020","438,993","40,451","37,255","10,917",7,2018
Exchange Place,"445,398","18,621","5,297","4,400","11,171","14,368","391,040","21,187","22,000","11,171",7,2018
Pavonia/ Newport,"480,595","19,971","7,419","4,801","7,518","15,503","419,395","29,677","24,005","7,518",7,2018
Hoboken,"670,762","28,848","7,796","5,092","8,314","21,637","605,806","31,182","25,460","8,314",7,2018
NEW JERSEY SUBTOTAL,"3,765,608","154,160","60,990","43,166","68,442","121,471","3,237,377","243,957","215,832","68,442",7,2018
Christopher Street,"117,818","5,118",24,0,0,"3,801","117,720",98,0,0,8,2018
9thStreet,"104,643","4,546",20,0,0,"3,376","104,562",81,0,0,8,2018
14thStreet,"212,688","9,242",32,0,0,"6,861","212,561",127,0,0,8,2018
23rdStreet,"182,911","7,950",13,0,0,"5,900","182,858",51,2,0,8,2018
33rdStreet,"804,643","34,969",84,8,0,"25,956","804,279",334,30,0,8,2018
UPTOWN SUBTOTAL,"1,422,703","61,825",173,8,0,"45,894","1,421,980",691,32,0,8,2018
WTC,"1,765,370","63,161","42,551","35,616",0,"56,947","1,452,704","170,203","142,463",0,8,2018
NEW YORK SUBTOTAL,"3,188,073","124,986","42,724","35,624",0,"102,841","2,874,684","170,894","142,495",0,8,2018
Newark,"757,705","29,530","10,548","9,082",0,"24,442","679,184","42,193","36,328",0,8,2018
Harrison,"225,031","8,677","3,156","3,210",0,"7,259","199,571","12,622","12,838",0,8,2018
Journal Square,"702,091","26,332","13,310","10,801",0,"22,648","605,644","53,242","43,205",0,8,2018
Grove Street,"539,621","20,623","8,954","7,370",0,"17,407","474,328","35,815","29,478",0,8,2018
Exchange Place,"463,887","17,921","6,890","6,037",0,"14,964","412,180","27,559","24,148",0,8,2018
Pavonia/ Newport,"485,763","19,393","6,302","3,628",0,"15,670","446,042","25,210","14,511",0,8,2018
Hoboken,"682,180","27,980","6,150","3,507",0,"22,006","643,551","24,602","14,027",0,8,2018
NEW JERSEY SUBTOTAL,"3,856,278","150,456","55,310","43,635",0,"124,396","3,460,500","221,243","174,535",0,8,2018
Christopher Street,"106,583","5,339",392,353,"1,425","3,553","101,434","1,961","1,763","1,425",9,2018
9thStreet,"105,322","5,181",520,448,"2,047","3,511","98,435","2,598","2,242","2,047",9,2018
14thStreet,"196,785","9,766",822,745,"3,400","6,560","185,547","4,111","3,727","3,400",9,2018
23rdStreet,"166,116","8,446",420,349,"1,794","5,537","160,477","2,102","1,743","1,794",9,2018
33rdStreet,"703,588","35,043","2,660","2,553","11,711","23,453","665,811","13,300","12,766","11,711",9,2018
UPTOWN SUBTOTAL,"1,278,394","63,775","4,814","4,448","20,377","42,613","1,211,704","24,072","22,241","20,377",9,2018
WTC,"1,666,648","66,398","44,213","33,008","18,974","55,555","1,261,565","221,067","165,042","18,974",9,2018
NEW YORK SUBTOTAL,"2,945,042","130,173","49,027","37,456","39,351","98,168","2,473,269","245,139","187,283","39,351",9,2018
Newark,"714,213","31,485","12,032","8,955","11,057","23,807","598,220","60,159","44,777","11,057",9,2018
Harrison,"211,508","9,171","3,999","2,964","2,438","7,050","174,252","19,997","14,821","2,438",9,2018
Journal Square,"671,516","27,897","15,107","10,971","11,080","22,384","530,042","75,537","54,857","11,080",9,2018
Grove Street,"505,500","21,546","10,372","7,601","6,273","16,850","409,366","51,858","38,003","6,273",9,2018
Exchange Place,"437,619","18,819","7,820","7,323","4,347","14,587","357,559","39,099","36,614","4,347",9,2018
Pavonia/ Newport,"437,765","20,288","6,832","2,471","5,772","14,592","385,480","34,159","12,354","5,772",9,2018
Hoboken,"621,168","29,750","7,394","2,676","5,564","20,706","565,254","36,972","13,378","5,564",9,2018
NEW JERSEY SUBTOTAL,"3,599,289","158,956","63,556","42,961","46,531","119,976","3,020,173","317,781","214,804","46,531",9,2018
Christopher Street,"126,007","5,531",25,0,"4,214","4,065","121,691",100,2,"4,214",10,2018
9thStreet,"125,977","5,547",23,0,"3,861","4,064","122,025",91,0,"3,861",10,2018
14thStreet,"230,697","10,125",31,1,"7,830","7,442","222,740",123,4,"7,830",10,2018
23rdStreet,"200,107","8,800",24,0,"6,420","6,455","193,590",97,0,"6,420",10,2018
33rdStreet,"847,202","37,211",92,8,"28,168","27,329","818,632",368,34,"28,168",10,2018
UPTOWN SUBTOTAL,"1,529,990","67,214",195,9,"50,493","49,355","1,478,678",779,40,"50,493",10,2018
WTC,"1,872,224","68,276","43,657","36,112","51,064","60,394","1,502,083","174,629","144,448","51,064",10,2018
NEW YORK SUBTOTAL,"3,402,214","135,490","43,852","36,121","101,557","109,749","2,980,761","175,408","144,488","101,557",10,2018
Newark,"816,511","32,540","10,372","8,822","23,868","26,339","715,870","41,487","35,286","23,868",10,2018
Harrison,"241,351","9,535","3,219","2,892","7,139","7,786","209,770","12,876","11,566","7,139",10,2018
Journal Square,"758,384","28,885","13,808","11,211","22,842","24,464","635,463","55,234","44,845","22,842",10,2018
Grove Street,"580,812","22,334","9,913","8,162","17,154","18,736","491,356","39,652","32,650","17,154",10,2018
Exchange Place,"504,686","19,488","7,510","7,962","14,057","16,280","428,739","30,042","31,848","14,057",10,2018
Pavonia/ Newport,"504,677","20,838","6,023","1,425","16,446","16,280","458,439","24,091","5,701","16,446",10,2018
Hoboken,"728,709","30,678","6,217","1,471","23,034","23,507","674,923","24,869","5,883","23,034",10,2018
NEW JERSEY SUBTOTAL,"4,135,130","164,298","57,062","41,945","124,540","133,391","3,614,560","228,251","167,779","124,540",10,2018
Christopher Street,"120,052","5,059","2,292","1,896","2,393","4,002","96,120","9,168","7,585","7,179",11,2018
9thStreet,"129,748","5,116","3,322","2,682","2,843","4,325","97,206","13,286","10,727","8,529",11,2018
14thStreet,"233,300","9,801","4,386","3,502","5,174","7,777","186,223","17,546","14,009","15,522",11,2018
23rdStreet,"187,962","8,286","2,604","2,176","3,802","6,265","157,432","10,418","8,705","11,407",11,2018
33rdStreet,"846,607","35,718","14,363","12,222","20,538","28,220","678,651","57,452","48,890","61,614",11,2018
UPTOWN SUBTOTAL,"1,517,669","63,980","26,967","22,478","34,750","50,589","1,215,632","107,870","89,916","104,251",11,2018
WTC,"1,490,694","64,740","22,580","18,847","31,644","49,690","1,230,056","90,320","75,387","94,931",11,2018
NEW YORK SUBTOTAL,"3,008,363","128,720","49,547","41,325","66,394","100,279","2,445,688","198,190","165,303","199,182",11,2018
Newark,"719,577","31,444","10,539","8,541","15,273","23,986","597,441","42,155","34,163","45,818",11,2018
Harrison,"214,321","9,196","3,330","3,017","4,736","7,144","174,723","13,322","12,069","14,207",11,2018
Journal Square,"672,352","27,485","14,279","11,007","16,333","22,412","522,207","57,116","44,029","49,000",11,2018
Grove Street,"517,927","21,521","10,637","8,090","11,372","17,264","408,901","42,548","32,362","34,116",11,2018
Exchange Place,"421,680","18,563","6,036","4,574","8,845","14,056","352,705","24,143","18,297","26,535",11,2018
Pavonia/ Newport,"465,569","19,871","7,776","5,887","11,123","15,519","377,545","31,106","23,549","33,369",11,2018
Hoboken,"687,299","30,851","9,376","6,318","12,786","22,910","586,168","37,503","25,270","38,358",11,2018
NEW JERSEY SUBTOTAL,"3,698,725","158,931","61,973","47,434","80,468","123,291","3,019,690","247,893","189,739","241,403",11,2018
Christopher Street,"111,362","4,376","2,680","1,945",726,"3,592","87,510","13,400","9,726",726,12,2018
9thStreet,"125,841","4,531","3,647","3,118","1,384","4,059","90,629","18,236","15,592","1,384",12,2018
14thStreet,"213,031","8,381","5,257","3,478","1,734","6,872","167,619","26,287","17,391","1,734",12,2018
23rdStreet,"192,012","7,975","3,733","2,442","1,634","6,194","159,505","18,665","12,208","1,634",12,2018
33rdStreet,"832,597","32,537","19,824","14,012","12,681","26,858","650,733","99,122","70,061","12,681",12,2018
UPTOWN SUBTOTAL,"1,474,843","57,800","35,141","24,995","18,159","47,576","1,155,996","175,710","124,978","18,159",12,2018
WTC,"1,394,199","58,074","24,385","19,290","14,351","44,974","1,161,472","121,926","96,450","14,351",12,2018
NEW YORK SUBTOTAL,"2,869,042","115,874","59,526","44,285","32,510","92,550","2,317,468","297,636","221,428","32,510",12,2018
Newark,"656,889","27,538","11,801","8,004","7,098","21,190","550,769","59,003","40,019","7,098",12,2018
Harrison,"205,114","8,396","4,212","2,762","2,330","6,617","167,913","21,062","13,809","2,330",12,2018
Journal Square,"651,427","25,369","15,636","11,193","9,898","21,014","507,387","78,179","55,963","9,898",12,2018
Grove Street,"497,592","19,588","12,105","8,088","4,861","16,051","391,764","60,527","40,440","4,861",12,2018
Exchange Place,"397,272","16,881","6,456","4,632","4,209","12,815","337,626","32,278","23,159","4,209",12,2018
Pavonia/ Newport,"445,572","18,153","9,139","6,296","5,346","14,373","363,053","45,695","31,478","5,346",12,2018
Hoboken,"628,508","26,421","12,124","7,232","3,307","20,274","528,422","60,621","36,158","3,307",12,2018
NEW JERSEY SUBTOTAL,"3,482,374","142,346","71,473","48,207","37,049","112,335","2,846,934","357,365","241,026","37,049",12,2018
